quadkey,avg_d_mbps,avg_u_mbps,avg_lat_ms,tests,devices,DISTRITO,year,quarter,year_quarter,date
2100300121220002,26.891,5.048,22,140,37,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220200,26.031,4.634,14,142,20,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220022,18.536,4.038,14,106,20,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202301,30.027,5.454,14,188,33,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202013,38.43,7.055,29,56,24,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331011,29.761,6.411,14,199,47,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331122,29.622,6.671,26,157,28,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331120,21.82,3.712,19,177,31,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121200323,32.085,9.026,156,64,21,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331123,21.129,4.605,16,111,21,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202220,26.243,4.689,13,255,59,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202032,32.881,7.48,25,246,55,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120333111,26.778,6.721,12,76,24,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202221,30.573,5.673,20,782,116,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202101,38.148,12.635,49,291,54,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220021,24.632,8.147,13,167,44,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202120,21.77,8.122,17,135,31,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220001,29.816,6.362,13,249,49,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121203202,21.356,5.363,11,32,10,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202223,29.73,5.076,15,219,62,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121200332,40.692,5.782,15,94,20,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202202,30.923,6.217,25,210,48,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220031,25.616,4.603,14,64,5,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331102,38.959,5.463,12,213,54,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331311,20.822,4.705,33,27,7,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331313,35.16,7.046,19,57,19,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331131,28.607,4.365,15,76,27,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220003,22.922,4.002,13,191,33,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220221,20.057,3.756,17,26,13,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202213,25.364,5.88,18,186,35,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331303,20.348,4.513,14,38,7,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220013,19.186,1.959,21,33,3,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331130,39.644,4.564,13,44,13,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220203,22.878,7.354,16,53,23,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202133,32.862,6.397,10,78,22,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331332,18.802,7.762,11,11,7,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202121,14.997,2.389,11,65,11,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331110,32.248,5.543,12,64,27,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331312,10.982,12.404,38,3,3,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202302,25.511,4.781,14,350,50,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202123,21.762,10.916,13,35,13,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331213,14.502,2.506,36,23,10,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202011,30.242,10.217,19,67,26,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202312,23.807,4.102,11,5,3,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331103,27.714,4.826,18,250,43,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202303,30.663,6.729,21,98,18,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202001,38.739,4.026,45,26,15,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220100,25.551,3.576,21,91,15,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121200330,30.851,8.261,15,70,21,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220223,15.701,3.379,54,77,14,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202030,21.042,4.45,16,60,8,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202110,43.482,6.724,12,36,10,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331013,34.842,5.496,19,164,50,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202122,26.816,9.25,13,238,62,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331033,24.671,5.646,15,36,12,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202103,40.722,6.775,15,86,19,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331301,23.329,5.113,50,115,26,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331310,17.834,4.092,13,11,5,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202031,36.122,21.091,8,77,20,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121200321,29.129,5.444,15,33,15,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220033,23.403,3.599,11,8,6,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331300,36.173,4.541,11,44,14,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
