,quadkey,avg_d_mbps,avg_u_mbps,avg_lat_ms,tests,devices,DISTRITO,year,quarter,year_quarter,date,Fecha_Entrada,post
0,2100300121202033,39.338,7.386,18,478,56,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
1,2100300121202222,26.534,6.529,26,171,40,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
2,2100300120331133,23.96,4.519,16,225,32,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
3,2100300120313331,23.637,4.033,29,235,60,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
4,2100300121202231,34.316,6.107,17,255,42,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
5,2100300121202102,37.029,6.83,12,196,37,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
6,2100300121202233,42.485,8.389,14,158,35,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
7,2100300120313313,23.584,4.834,27,226,36,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
8,2100300121222001,13.053,4.088,15,64,6,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
9,2100300120331121,20.227,4.718,11,289,28,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
10,2100300120331101,29.05,6.642,13,141,37,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
11,2100300121202211,28.816,4.759,31,251,37,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
12,2100300121202230,28.07,6.292,14,314,79,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
13,2100300120333100,17.245,3.966,17,96,15,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
14,2100300121220202,20.476,5.502,18,194,27,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
15,2100300120331100,39.209,5.131,19,129,41,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
16,2100300121222000,20.852,4.568,14,71,17,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
17,2100300121202003,27.831,5.469,18,183,56,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
18,2100300121202203,35.445,5.739,35,280,66,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
19,2100300121220023,26.487,4.497,40,413,47,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
20,2100300121220030,23.394,4.068,16,148,15,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
21,2100300121202210,22.087,3.765,19,153,40,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
22,2100300121202310,43.158,23.348,10,184,36,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
23,2100300120333101,25.836,3.992,28,51,10,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
24,2100300121202212,24.357,4.226,22,426,89,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
25,2100300121202100,35.604,12.31,10,66,23,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
26,2100300121202311,42.528,6.499,39,204,10,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
27,2100300121202010,46.742,16.405,14,168,28,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
28,2100300120331031,18.817,4.3,33,126,37,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
29,2100300120331331,18.188,3.072,24,179,40,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
30,2100300121220222,20.201,3.114,31,102,26,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
31,2100300121202300,25.445,7.44,14,284,52,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
32,2100300120333103,16.978,4.121,13,105,14,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
33,2100300121202232,30.426,5.529,19,473,51,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
34,2100300120313332,24.28,3.697,124,112,26,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
35,2100300120331333,31.216,7.963,11,69,30,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
36,2100300121220000,26.933,7.311,20,167,34,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
37,2100300121200233,43.731,6.521,13,95,18,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
38,2100300121220010,33.688,5.334,24,249,33,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
39,2100300120331111,25.529,4.566,12,142,39,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
40,2100300120313333,29.97,4.948,13,141,39,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
41,2100300121220020,23.216,4.46,22,206,27,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
42,2100300120331132,16.055,4.665,15,252,24,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
43,2100300121220012,17.515,8.843,12,62,12,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
44,2100300121202320,51.984,6.732,27,39,19,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
45,2100300121220220,17.937,4.576,22,100,24,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
46,2100300120331113,28.897,5.095,12,79,34,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
47,2100300121200232,27.328,3.567,17,147,19,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
48,2100300120331112,28.111,5.428,17,289,29,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
49,2100300121220011,20.183,5.001,11,147,46,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
50,2100300120331211,18.848,4.23,44,120,17,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
51,2100300121220002,26.891,5.048,22,140,37,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
52,2100300121220200,26.031,4.634,14,142,20,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
53,2100300121220022,18.536,4.038,14,106,20,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
54,2100300121202301,30.027,5.454,14,188,33,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
55,2100300121202013,38.43,7.055,29,56,24,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
56,2100300120331011,29.761,6.411,14,199,47,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
57,2100300120331122,29.622,6.671,26,157,28,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
58,2100300120331120,21.82,3.712,19,177,31,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
59,2100300121200323,32.085,9.026,156,64,21,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
60,2100300120331123,21.129,4.605,16,111,21,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
61,2100300121202220,26.243,4.689,13,255,59,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
62,2100300121202032,32.881,7.48,25,246,55,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
63,2100300120333111,26.778,6.721,12,76,24,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
64,2100300121202221,30.573,5.673,20,782,116,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
65,2100300121202101,38.148,12.635,49,291,54,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
66,2100300121220021,24.632,8.147,13,167,44,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
67,2100300121202120,21.77,8.122,17,135,31,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
68,2100300121220001,29.816,6.362,13,249,49,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
69,2100300121203202,21.356,5.363,11,32,10,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
70,2100300121202223,29.73,5.076,15,219,62,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
71,2100300121200332,40.692,5.782,15,94,20,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
72,2100300121202202,30.923,6.217,25,210,48,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
73,2100300121220031,25.616,4.603,14,64,5,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
74,2100300120331102,38.959,5.463,12,213,54,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
75,2100300120331311,20.822,4.705,33,27,7,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
76,2100300120331313,35.16,7.046,19,57,19,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
77,2100300120331131,28.607,4.365,15,76,27,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
78,2100300121220003,22.922,4.002,13,191,33,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
79,2100300121220221,20.057,3.756,17,26,13,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
80,2100300121202213,25.364,5.88,18,186,35,SANTIAGO DE SURCO,2019,1,2019Q1,2019Q1,2020Q4,0
